# ----------------------------------------
# Instantané des rapports
# Compte : Servicesartisans 
# Propriété : Servicesartisans
# ----------------------------------------
#  
# Date de début : 20260319
# Date de fin : 20260417
Utilisateurs actifs,Nouveaux utilisateurs,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements
2113,2083,47.73213440605774,32125

#  
# Date de début : 20260319
# Date de fin : 20260417
Titre de la page et classe de l'écran,Vues,Utilisateurs actifs,Nombre d'événements,Taux de rebond
Mes artisans favoris — ServicesArtisans | ServicesArtisans,4,1,12,0
N.G. TERRASSEMENT (N.G.CONSTRUCTION) -… | ServicesArtisans,4,1,14,0
NADYA LABIED (ROUIZEM) - Architecte… | ServicesArtisans,4,1,19,0.5
NICOLAS BECHTEL (BAI (BECHTEL AMENAGEMENT INTERIEUR)) -… | ServicesArtisans,4,1,8,0
Peintre en bâtiment à Marseille — Devis Gratuit 2026 | ServicesArtisans,4,1,4,0
Plombier Cassis La Ciotat : devis gratuit | ServicesArtisans,4,1,24,0
Plombier Nice (06) — Devis | ServicesArtisans,4,1,6,0
Plombier à Antibes — Devis Gratuit | ServicesArtisans,4,1,11,0
Plombier à Athis-Mons — Comparez | ServicesArtisans,4,1,10,0
"Plombier à Queuleu, Metz — 47 pros | ServicesArtisans",4,1,18,0.6666666666666666
Poseur de parquet Roubaix 2026 — Devis Gratuit | ServicesArtisans,4,2,31,0
Prix Métallier 2026 : combien prévoir ? 150–400€/ml | ServicesArtisans,4,1,37,0
Prix maçon 2026 — Tarifs détaillés | ServicesArtisans,4,2,21,0
Prix nettoyage de façade (kärcher professionnel) à Pau — Tarifs 2026 | ServicesArtisans | ServicesArtisans,4,1,17,0.75
Prix Étanchéiste Thouars 2026 : 40–100€ | ServicesArtisans,4,1,11,0
ROJ - Carreleur à Schiltigheim | ServicesArtisans,4,1,12,0
SAMUEL SALAHORU - Déménageur à Niedermodern | ServicesArtisans,4,1,31,0
STEVE DUMAS (SD.ELEC) - Électricien à Villerouge-Termenès | ServicesArtisans,4,2,42,0
SUD TOITURES (SUD TOITURES) -… | ServicesArtisans,4,1,16,0
Solier-moquettiste France 2026 : Devis Gratuit | ServicesArtisans,4,2,10,0
Solier-moquettiste à Lezoux — Comparez | ServicesArtisans,4,1,11,0
Tarif plâtrier 2026 : combien ça coûte vraiment ? | ServicesArtisans,4,3,22,0.3333333333333333
Terrassier : Artisans Vérifiés + Devis Gratuit | ServicesArtisans,4,3,20,0.3333333333333333
"Trouver un paysagiste à Saint-André,… | ServicesArtisans",4,1,24,0
"Trouver un plâtrier à Pau, Lons | ServicesArtisans",4,1,14,0
"Trouver un plâtrier à Queuleu, Metz | ServicesArtisans",4,1,50,0
Urgence nettoyage Blois | ServicesArtisans,4,1,17,0.5
ZALA - Menuisier à Montreuil | ServicesArtisans,4,2,23,0.5
Électricien Marseille (13) — Devis 2026 | ServicesArtisans,4,2,9,0
Électricien Mions 2026 — Devis Gratuit | ServicesArtisans,4,1,7,0
Électricien à Louhans — Devis Gratuit 2026 | ServicesArtisans,4,1,4,0
133 maçons à Roquebrune-sur-Argens (Le… | ServicesArtisans,3,1,15,0
17 peintre en bâtiments à Centre-ville (Segré-en-Anjou… | ServicesArtisans,3,1,21,0
2 S B.P - Électricien à Montreuil | ServicesArtisans,3,1,19,0.6666666666666666
A Contre Courant - Electricien -… | ServicesArtisans,3,1,11,0
ALBINO NEVES CORREIA (CORREIA PEINTURES)… | ServicesArtisans,3,2,33,0
ANTHONY BAUER (BATI-PRO CMZ) - Maçon à… | ServicesArtisans,3,1,21,0
ARC AMENAGEMENT INTERIEUR - Menuisier à… | ServicesArtisans,3,1,13,0
ART DECORS (ART DECORS) - Peintre en bâtiment à… | ServicesArtisans,3,1,15,0
ARTISAN MENUISIER MASSE - Menuisier à… | ServicesArtisans,3,2,33,0
AYSEL IPEK - Architecte d'intérieur à… | ServicesArtisans,3,2,54,0
Antenniste Arles 2026 — Devis Gratuit | ServicesArtisans,3,1,11,0
Artisan Nouméa — Devis Gratuit | ServicesArtisans,3,1,10,0
Artisans Paris (75) — Devis | ServicesArtisans,3,2,9,0
"Artisans à Centre-ville, Bellerive-sur-Allier | ServicesArtisans",3,1,12,0
Avis Plombier Papeete — Top artisans vérifiés 2026 | ServicesArtisans,3,1,14,1
Avis Vitrier Fouesnant 2026 — Notes & Tarifs dès 49€ | ServicesArtisans,3,1,7,0
Avis carreleur Lavelanet | ServicesArtisans,3,1,12,0
Avis cuisiniste à Pordic — Comparez les pros 2026 | ServicesArtisans,3,1,16,0
Avis déménageur L'Isle-sur-la-Sorgue | ServicesArtisans,3,1,19,0
Avis plombier Villemoisson-sur-Orge —… | ServicesArtisans,3,1,16,0
"Avis serrurier Épinal 2026 : notes, tarifs dès 70€ | ServicesArtisans",3,1,14,0
Avis vitrier Saint-Genis-Laval | ServicesArtisans,3,1,17,0
Avis électricien Mions : notes | ServicesArtisans,3,1,9,0
BERTAN POLAT (PLTPLOMBERIE) - Plombier à… | ServicesArtisans,3,1,21,0.5
BMB PEINTURE - Peintre en bâtiment à… | ServicesArtisans,3,1,31,0
BRANDON MARX (MARX) (MARX PLOMBERIE ET… | ServicesArtisans,3,2,26,0
BURAK OZKAN (BO ELECTRICITE) - Électricien à Scionzier | ServicesArtisans,3,1,18,0
CEDRIC CALMETTES (CALMETTES CHARPENTE COUVERTURE) -… | ServicesArtisans,3,1,19,0
CHALEUR BOREALE - Chauffagiste à Vesoul | ServicesArtisans,3,1,23,0
CHRIST ADAM - Peintre en bâtiment à… | ServicesArtisans,3,1,21,0
CHRISTIAN LORIAUX - Plombier à Annœullin | ServicesArtisans,3,1,13,0
COMPAGNIE DE LA TOITURE (COMPAGNIE DE LA… | ServicesArtisans,3,1,19,0
Carreleur Loir-et-Cher — Artisans vérifiés | ServicesArtisans,3,1,12,0
Chambray-lès-Tours (37) — Annuaire | ServicesArtisans,3,1,8,0
