"﻿""URL""",Status,UR,Previous traffic,Current traffic,Traffic change,Previous traffic value,Current traffic value,Traffic value change,Current referring domains,Previous # of keywords,Current # of keywords,Keywords change,Previous top keyword,Current top keyword,Previous top keyword: Country,Current top keyword: Country,Previous top keyword: Volume,Current top keyword: Volume,Previous top keyword: Position,Current top keyword: Position,Top keyword: Position change,Page type
https://servicesartisans.fr/urgence/ascensoriste/cosne-cours-sur-loire,New,0,,1,1,,,,0,,1,1,,ascenseur cosne sur loire,,France,,20,,6,,
https://servicesartisans.fr/services/vitrier/gien,New,0,,1,1,,0.96,0.96,0,,1,1,,vitrier gien,,France,,60,,12,,
https://servicesartisans.fr/urgence/menuisier/douchy-les-mines,New,0,,1,1,,,,0,,1,1,,menuisier urgence,,France,,10,,8,,
https://servicesartisans.fr/tarifs/plombier/nimes/installation-d-un-wc,New,0,,1,1,,,,0,,1,1,,remplacement toilettes nimes,,France,,30,,11,,
https://servicesartisans.fr/services/vitrier/hendaye,New,0,,1,1,,0.83,0.83,0,,1,1,,vitrier hendaye,,France,,30,,12,,
https://servicesartisans.fr/tarifs/plombier/dunkerque,New,0,,1,1,,0.42,0.42,0,,1,1,,tarif plombier dunkerque,,France,,10,,4,,
https://servicesartisans.fr/tarifs/serrurier/le-mans/copie-de-cle-standard-ou-haute-securite,New,0,,1,1,,0.40,0.40,0,,1,1,,serrurier le mans tarif,,France,,30,,9,,
https://servicesartisans.fr/questions/prix-pose-carrelage-m2,New,0,,1,1,,0.07,0.07,0,,1,1,,prix carrelage m2,,France,,2200,,17,,
https://servicesartisans.fr/avis/cuisiniste/quimper,New,0,,1,1,,1.24,1.24,0,,1,1,,cuisiniste quimper avis,,France,,30,,9,,
https://servicesartisans.fr/services/peintre-en-batiment/bordeaux,,0,0,1,1,0.00,1.43,1.43,0,1,1,,artisan peintre bordeaux,peintre qualifie bordeaux,France,France,450,10,61,4,,
https://servicesartisans.fr/departements/doubs/ascensoriste,New,0,,1,1,,,,0,,1,1,,ascenseur doubs,,France,,20,,8,,
https://servicesartisans.fr/tarifs/zingueur/puteaux/pose-de-gouttieres-en-zinc,New,0,,1,1,,0.47,0.47,0,,1,1,,prix pose cheneau zinc,,France,,10,,5,,
https://servicesartisans.fr/tarifs/serrurier/lyon/copie-de-cle-standard-ou-haute-securite,New,0,,1,1,,0.64,0.64,0,,1,1,,faire un double de clé lyon prix,,France,,20,,8,,
https://servicesartisans.fr/avis/ascensoriste/belleville-en-beaujolais,New,0,,1,1,,,,0,,1,1,,ascenseur belleville en beaujolais,,France,,10,,2,,
https://servicesartisans.fr/blog/guide-fenetre-double-vitrage,New,0,,1,1,,0.88,0.88,0,,2,2,,fenetres double vitrage,,France,,600,,23,,
https://servicesartisans.fr/services/vitrier/montereau-fault-yonne,New,0,,1,1,,1.07,1.07,0,,1,1,,vitrier montereau fault yonne,,France,,30,,10,,
https://servicesartisans.fr/,,6,1,1,,1.05,1.05,,33,1,1,,artisans de france,artisans de france,France,France,50,50,12,12,0,
