TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-04-30 19:22:29,1777576949738,servicesartisans.fr/services/climaticien/ayguemorte-les-graves,GET,nxtPservice=climaticien&nxtPlocation=ayguemorte-les-graves,200,k56t6-1777576949278-4c455e413b39,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),error,production,master,MISS,function,/services/[service]/[location],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:29.737Z] [ERROR] Redis command error {""error"":{""name"":""Error"",""message"":""HTTP 403"",""stack"":""Error: HTTP 403\n    at g (/var/task/.next/server/chunks/98754.js:1:2282)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async p.set (/var/task/.next/server/chunks/98754.js:1:2905)""}}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,4052476a874084a890136eae5720da80,,,,,,
2026-04-30 19:22:29,1777576949781,servicesartisans.fr/services/climaticien/ayguemorte-les-graves,GET,nxtPservice=climaticien&nxtPlocation=ayguemorte-les-graves,200,k56t6-1777576949278-4c455e413b39,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),error,production,master,MISS,function,/services/[service]/[location],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:29.758Z] [ERROR] Redis command error {""error"":{""name"":""Error"",""message"":""HTTP 403"",""stack"":""Error: HTTP 403\n    at g (/var/task/.next/server/chunks/98754.js:1:2282)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async p.set (/var/task/.next/server/chunks/98754.js:1:2905)""}}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,4052476a874084a890136eae5720da80,,,,,,
2026-04-30 19:22:29,1777576949781,servicesartisans.fr/services/climaticien/ayguemorte-les-graves,GET,nxtPservice=climaticien&nxtPlocation=ayguemorte-les-graves,200,k56t6-1777576949278-4c455e413b39,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),error,production,master,MISS,function,/services/[service]/[location],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:29.778Z] [ERROR] Redis command error {""error"":{""name"":""Error"",""message"":""HTTP 403"",""stack"":""Error: HTTP 403\n    at g (/var/task/.next/server/chunks/98754.js:1:2282)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async p.set (/var/task/.next/server/chunks/98754.js:1:2905)""}}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,4052476a874084a890136eae5720da80,,,,,,
2026-04-30 19:22:29,1777576949785,servicesartisans.fr/services/climaticien/ayguemorte-les-graves,GET,nxtPservice=climaticien&nxtPlocation=ayguemorte-les-graves,200,k56t6-1777576949278-4c455e413b39,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),error,production,master,MISS,function,/services/[service]/[location],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:29.781Z] [ERROR] Upstash circuit breaker opened {""reason"":""HTTP 403"",""consecutiveAuthFailures"":3,""reopenInMs"":60000}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,4052476a874084a890136eae5720da80,,,,,,
2026-04-30 19:22:29,1777576949278,servicesartisans.fr/services/climaticien/ayguemorte-les-graves,GET,nxtPservice=climaticien&nxtPlocation=ayguemorte-les-graves,200,k56t6-1777576949278-4c455e413b39,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),,production,master,MISS,function,/services/[service]/[location],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,431,cdg1,522,2048,,prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,4052476a874084a890136eae5720da80,,01KQFXFDQ6821BH62TBJEN9N9H,fQRaFIGjlkr1,1,,
2026-04-30 19:22:29,1777576949278,servicesartisans.fr/services/climaticien/ayguemorte-les-graves,GET,nxtPservice=climaticien&nxtPlocation=ayguemorte-les-graves,200,k56t6-1777576949278-4c455e413b39,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),,production,master,MISS,middleware,src/middleware,servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,29,yul1,301,2048,,prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,4052476a874084a890136eae5720da80,,01KQFXFDH9VMJRSG09TNKYPPJR,TCkx9wqq4Aof,1,,
2026-04-30 19:22:27,1777576947349,servicesartisans.fr/avis/domoticien/franqueville-saint-pierre,GET,,200,bwlzk-1777576947019-af11fde031b3,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",error,production,master,MISS,function,/avis/[service]/[ville],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:27.349Z] [ERROR] Redis command error {""error"":{""name"":""Error"",""message"":""HTTP 403"",""stack"":""Error: HTTP 403\n    at g (/var/task/.next/server/chunks/98754.js:1:2282)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async p.set (/var/task/.next/server/chunks/98754.js:1:2905)""}}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,,,,,,,
2026-04-30 19:22:27,1777576947374,servicesartisans.fr/avis/domoticien/franqueville-saint-pierre,GET,,200,bwlzk-1777576947019-af11fde031b3,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",error,production,master,MISS,function,/avis/[service]/[ville],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:27.373Z] [ERROR] Redis command error {""error"":{""name"":""Error"",""message"":""HTTP 403"",""stack"":""Error: HTTP 403\n    at g (/var/task/.next/server/chunks/98754.js:1:2282)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async p.set (/var/task/.next/server/chunks/98754.js:1:2905)""}}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,,,,,,,
2026-04-30 19:22:27,1777576947388,servicesartisans.fr/avis/domoticien/franqueville-saint-pierre,GET,,200,bwlzk-1777576947019-af11fde031b3,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",error,production,master,MISS,function,/avis/[service]/[ville],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:27.387Z] [ERROR] Upstash circuit breaker opened {""reason"":""HTTP 403"",""consecutiveAuthFailures"":3,""reopenInMs"":60000}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,,,,,,,
2026-04-30 19:22:27,1777576947432,servicesartisans.fr/avis/domoticien/franqueville-saint-pierre,GET,,200,bwlzk-1777576947019-af11fde031b3,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",error,production,master,MISS,function,/avis/[service]/[ville],servicesartisans.fr,servicesartisans.fr,dpl_P1EjsJibqJB8BDboagAcGoKcPdQA,,,,,"[2026-04-30T19:22:27.431Z] [ERROR] Redis command error {""error"":{""name"":""Error"",""message"":""HTTP 403"",""stack"":""Error: HTTP 403\n    at g (/var/task/.next/server/chunks/98754.js:1:2282)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async p.set (/var/task/.next/server/chunks/98754.js:1:2905)""}}",prj_h3YjJQCfZGWT8WoxOTfhgyyskrXT,,,,,,,
